Gender,Birth Day,height,weight,Allergy,Diet Type,Religion,Meal_Type,Satisfy Score
Male,2/5/2022,135,36,,Pesetarianism,Judaism,Luxury,3
Male,8/16/2023,149,129,,Veganism,Christianity,Complex,1
Female,3/24/2023,177,184,Soy,Pesetarianism,Shinto,Balance,4
Female,4/28/2023,186,51,,Omnivorousness,Christianity,Balance,5
Male,7/7/2023,132,108,,Pesetarianism,Islam,Balance,1
Male,2/12/2023,137,61,,Omnivorousness,Buddism,Balance,4
Female,9/11/2022,193,165,,Omnivorousness,Taoism,Balance,2
Male,9/11/2022,122,160,,Veganism,Hinduism,Complex,1
Female,10/21/2022,151,90,,Veganism,Hinduism,Balance,1
Female,6/28/2023,109,95,,Omnivorousness,Judaism,Balance,3
Male,7/15/2023,128,124,,Vegetarianism,Taoism,Luxury,1
Male,5/15/2022,126,39,,Veganism,Islam,Luxury,2
Female,8/11/2022,162,44,,Veganism,Sikhism,Complex,3
Male,8/30/2022,154,119,,Pesetarianism,Taoism,Minimal,2
Male,3/22/2022,142,111,,Omnivorousness,Shinto,Minimal,2
Male,9/22/2023,127,180,Sesame,Veganism,Sikhism,Minimal,4
Female,7/1/2023,118,180,Milk,Pesetarianism,Judaism,Balance,4
Male,2/8/2022,121,181,,Pesetarianism,Sikhism,Balance,3
Male,2/16/2022,179,78,,Pesetarianism,Shinto,Complex,1
Male,11/11/2022,184,179,,Omnivorousness,Islam,Minimal,2
Female,3/23/2022,105,184,Tree Nuts,Pesetarianism,Taoism,Complex,2
Male,11/21/2022,176,132,,Omnivorousness,Hinduism,Minimal,1
Female,3/4/2023,136,64,,Vegetarianism,Sikhism,Luxury,5
Male,7/5/2022,111,117,,Pesetarianism,Judaism,Complex,4
Female,12/27/2022,144,113,Celery,Vegetarianism,Shinto,Luxury,3
Male,2/19/2022,146,35,,Veganism,Buddism,Balance,4
Male,6/17/2022,186,111,,Vegetarianism,Islam,Balance,3
Male,7/1/2023,140,183,,Pesetarianism,Hinduism,Complex,4
Female,11/17/2023,129,39,Molluscs,Veganism,Shinto,Minimal,5
Male,7/3/2023,135,100,,Omnivorousness,Buddism,Balance,5
Female,4/12/2023,184,63,,Pesetarianism,Sikhism,Minimal,2
Male,3/18/2022,136,124,,Veganism,Taoism,Complex,1
Male,10/14/2022,198,118,,Veganism,Judaism,Balance,1
Female,1/20/2023,129,53,,Omnivorousness,Islam,Luxury,1
Male,5/21/2023,147,130,,Omnivorousness,Shinto,Minimal,3
Male,3/29/2022,114,102,,Vegetarianism,Judaism,Complex,2
Male,5/8/2022,176,78,,Vegetarianism,Hinduism,Complex,2
Male,3/27/2023,138,182,,Omnivorousness,Christianity,Complex,3
Male,10/13/2022,170,70,,Vegetarianism,Buddism,Luxury,5
Female,2/14/2022,134,164,Peanuts,Vegetarianism,Buddism,Complex,4
Female,7/27/2023,130,69,Soy,Omnivorousness,Buddism,Minimal,3
Male,12/9/2022,153,190,,Vegetarianism,Christianity,Complex,2
Female,3/27/2023,169,80,Fish,Vegetarianism,Christianity,Minimal,5
Male,3/20/2023,197,92,,Vegetarianism,Judaism,Balance,1
Male,9/1/2023,174,103,Celery,Veganism,Sikhism,Minimal,3
Male,6/12/2023,135,90,,Vegetarianism,Taoism,Complex,4
Female,2/5/2023,136,168,,Vegetarianism,Sikhism,Complex,1
Female,12/19/2023,131,50,,Vegetarianism,Hinduism,Luxury,2
Female,5/9/2022,174,189,,Pesetarianism,Shinto,Luxury,2
Male,12/10/2023,179,128,,Omnivorousness,Judaism,Balance,4
Female,10/12/2023,150,93,,Pesetarianism,Hinduism,Minimal,4
