Gender,Birth Day,height,weight,Allergy,Diet Type,Religion,Meal_Type,Satisfy Score
Male,10/12/2023,182,160,,Vegetarianism,Christianity,Luxury,1
Female,8/17/2022,104,82,Molluscs,Omnivorousness,Shinto,Balance,3
Female,9/7/2022,144,143,Molluscs,Omnivorousness,Taoism,Minimal,1
Female,10/13/2023,161,174,Fish,Omnivorousness,Sikhism,Luxury,4
Female,8/24/2022,195,110,,Pesetarianism,Taoism,Minimal,4
Female,2/23/2023,177,185,,Vegetarianism,Hinduism,Balance,1
Male,5/3/2022,142,182,,Veganism,Hinduism,Balance,3
Male,5/5/2022,116,171,,Omnivorousness,Islam,Minimal,3
Female,7/10/2022,197,177,,Pesetarianism,Christianity,Balance,5
Male,3/18/2023,135,124,,Omnivorousness,Christianity,Balance,1
Male,12/24/2022,164,93,,Omnivorousness,Taoism,Minimal,1
Female,9/10/2023,152,125,Gluten,Omnivorousness,Judaism,Complex,5
Female,12/9/2022,198,172,Sulphur Dioxide Sulphites,Vegetarianism,Hinduism,Complex,2
Male,5/23/2023,141,187,,Omnivorousness,Shinto,Complex,5
Female,9/19/2023,167,156,Tree Nuts,Veganism,Hinduism,Minimal,2
Male,7/20/2022,177,113,Mustard,Vegetarianism,Hinduism,Complex,3
Male,12/17/2023,186,181,,Veganism,Buddism,Complex,2
Male,12/4/2022,152,102,,Vegetarianism,Christianity,Minimal,1
Female,1/4/2023,139,103,Mustard,Veganism,Islam,Complex,3
Male,10/2/2022,121,62,Molluscs,Vegetarianism,Islam,Complex,2
Male,1/21/2023,197,93,Milk,Pesetarianism,Sikhism,Complex,5
Female,1/22/2023,114,37,,Omnivorousness,Shinto,Luxury,1
Female,6/1/2022,108,34,Molluscs,Vegetarianism,Taoism,Luxury,4
Female,5/20/2023,122,96,Sulphur Dioxide Sulphites,Veganism,Hinduism,Minimal,2
Male,12/21/2022,170,49,,Veganism,Shinto,Balance,4
Male,8/21/2022,101,99,,Omnivorousness,Islam,Balance,3
Male,4/25/2023,137,158,Peanuts,Vegetarianism,Hinduism,Luxury,2
Male,11/12/2022,150,44,,Veganism,Christianity,Minimal,5
Female,6/9/2022,123,58,Eggs,Vegetarianism,Christianity,Minimal,2
Female,5/8/2023,108,61,,Omnivorousness,Christianity,Luxury,2
Female,1/7/2023,157,98,Sesame,Vegetarianism,Buddism,Complex,4
Female,2/14/2023,170,53,,Pesetarianism,Hinduism,Luxury,1
Female,12/5/2022,156,128,Sulphur Dioxide Sulphites,Veganism,Shinto,Complex,4
Male,10/2/2023,153,56,,Omnivorousness,Hinduism,Balance,1
Female,5/22/2023,103,32,,Veganism,Taoism,Minimal,5
Female,9/17/2022,147,162,,Omnivorousness,Shinto,Balance,3
Female,8/10/2022,158,61,,Omnivorousness,Buddism,Complex,2
Female,6/16/2022,155,70,Soy,Pesetarianism,Shinto,Luxury,3
Male,7/28/2023,197,154,,Vegetarianism,Islam,Complex,5
Male,7/12/2022,126,61,,Omnivorousness,Sikhism,Luxury,5
Male,1/24/2023,184,166,,Vegetarianism,Shinto,Minimal,5
Female,4/8/2022,166,33,,Omnivorousness,Sikhism,Minimal,5
Male,10/20/2023,145,138,,Pesetarianism,Hinduism,Balance,2
Female,4/10/2022,166,174,,Pesetarianism,Taoism,Minimal,5
Female,5/29/2023,111,82,Lupin,Vegetarianism,Sikhism,Luxury,5
Female,3/17/2023,131,145,Tree Nuts,Omnivorousness,Hinduism,Complex,1
Male,8/10/2023,143,180,,Veganism,Taoism,Balance,1
Female,12/1/2022,137,113,Soy,Pesetarianism,Taoism,Minimal,5
Female,10/3/2023,104,166,,Pesetarianism,Shinto,Luxury,2
Female,7/2/2023,149,183,,Pesetarianism,Islam,Complex,1
