Gender,Birth Day,height,weight,Allergy,Diet Type,Religion,Meal_Type,Satisfy Score
Female,11/4/2022,120,126,Eggs,Pesetarianism,Judaism,Minimal,4
Male,7/19/2023,189,58,,Omnivorousness,Shinto,Minimal,3
Female,7/3/2022,150,132,,Veganism,Islam,Balance,4
Female,6/6/2022,157,80,,Veganism,Hinduism,Luxury,3
Female,6/5/2022,147,180,Crustaceans,Vegetarianism,Christianity,Complex,1
Male,2/24/2022,113,42,,Veganism,Shinto,Complex,1
Female,8/19/2023,161,188,,Vegetarianism,Islam,Balance,5
Male,9/13/2023,191,161,,Omnivorousness,Sikhism,Balance,2
Female,12/29/2022,145,83,Mustard,Vegetarianism,Shinto,Complex,3
Female,7/23/2023,150,117,Fish,Pesetarianism,Islam,Minimal,5
Male,12/10/2022,157,92,Mustard,Vegetarianism,Judaism,Luxury,1
Female,2/18/2023,128,186,Molluscs,Vegetarianism,Islam,Luxury,4
Female,6/7/2022,139,120,,Vegetarianism,Christianity,Balance,3
Female,5/3/2022,169,131,,Veganism,Islam,Luxury,4
Female,2/18/2023,100,109,Peanuts,Vegetarianism,Judaism,Complex,5
Female,5/5/2022,172,39,Peanuts,Omnivorousness,Islam,Luxury,4
Female,10/26/2023,181,101,Sesame,Veganism,Taoism,Luxury,1
Female,4/25/2022,131,69,,Omnivorousness,Sikhism,Luxury,1
Male,5/12/2023,182,124,Peanuts,Vegetarianism,Judaism,Minimal,5
Male,9/20/2023,154,189,Molluscs,Omnivorousness,Islam,Minimal,2
Male,5/17/2022,122,46,,Veganism,Hinduism,Minimal,3
Male,11/13/2023,178,128,,Veganism,Hinduism,Luxury,2
Female,3/30/2023,137,51,Soy,Veganism,Judaism,Minimal,4
Female,10/11/2023,141,115,,Omnivorousness,Buddism,Luxury,5
Male,6/4/2022,141,100,,Veganism,Hinduism,Minimal,3
Female,7/26/2022,156,169,,Pesetarianism,Buddism,Minimal,1
Male,8/30/2022,143,178,,Veganism,Sikhism,Complex,1
Male,10/20/2022,145,79,,Pesetarianism,Hinduism,Complex,2
Female,12/18/2022,192,149,Mustard,Veganism,Christianity,Balance,5
Male,9/25/2023,181,72,,Pesetarianism,Islam,Balance,4
Male,5/21/2023,134,89,,Omnivorousness,Buddism,Minimal,1
Female,6/16/2023,173,168,,Omnivorousness,Islam,Balance,3
Female,9/15/2023,115,190,Sesame,Veganism,Christianity,Minimal,5
Female,7/11/2022,108,148,Gluten,Omnivorousness,Hinduism,Minimal,2
Male,4/27/2022,136,158,,Veganism,Shinto,Minimal,3
Male,10/6/2022,152,101,,Omnivorousness,Buddism,Balance,5
Female,3/15/2023,135,74,,Veganism,Judaism,Luxury,3
Male,11/9/2023,100,101,Lupin,Pesetarianism,Christianity,Complex,5
Female,7/7/2022,178,155,,Pesetarianism,Buddism,Complex,4
Female,9/30/2023,115,111,,Omnivorousness,Hinduism,Minimal,4
Female,8/27/2023,166,124,Sulphur Dioxide Sulphites,Veganism,Hinduism,Luxury,1
Female,5/16/2022,168,98,Milk,Pesetarianism,Christianity,Minimal,2
Female,6/7/2022,108,91,,Omnivorousness,Taoism,Balance,5
Male,7/12/2022,193,38,,Veganism,Judaism,Balance,4
Female,5/31/2023,115,187,Soy,Pesetarianism,Sikhism,Balance,5
Female,3/18/2022,164,166,,Pesetarianism,Taoism,Luxury,3
Male,12/13/2022,100,39,,Vegetarianism,Buddism,Complex,5
Male,12/17/2022,126,138,,Pesetarianism,Judaism,Balance,2
Male,12/13/2022,182,62,,Omnivorousness,Islam,Luxury,4
Male,2/5/2022,148,144,,Veganism,Taoism,Luxury,2
Female,8/18/2022,139,116,,Vegetarianism,Buddism,Minimal,5
Female,2/23/2022,158,49,Tree Nuts,Pesetarianism,Sikhism,Balance,4
Female,7/7/2022,154,32,Tree Nuts,Omnivorousness,Judaism,Luxury,5
Male,5/8/2022,180,120,,Veganism,Hinduism,Complex,3
Female,12/10/2023,188,56,Peanuts,Pesetarianism,Sikhism,Complex,3
Female,3/21/2023,113,102,Crustaceans,Vegetarianism,Judaism,Minimal,4
Male,7/25/2023,113,164,Peanuts,Vegetarianism,Judaism,Complex,2
Male,8/4/2023,135,168,Gluten,Veganism,Christianity,Balance,1
Female,9/30/2023,150,90,Peanuts,Omnivorousness,Islam,Minimal,2
Male,3/11/2023,144,165,Sulphur Dioxide Sulphites,Pesetarianism,Hinduism,Complex,2
Female,11/12/2022,108,101,Milk,Omnivorousness,Judaism,Minimal,4
Female,11/8/2023,105,109,Tree Nuts,Veganism,Shinto,Luxury,1
Male,7/17/2023,147,40,,Omnivorousness,Islam,Balance,4
Male,8/2/2022,167,60,,Vegetarianism,Islam,Minimal,4
Male,1/21/2023,104,78,Soy,Omnivorousness,Judaism,Minimal,4
Male,3/26/2023,157,43,,Pesetarianism,Judaism,Minimal,3
Male,2/17/2023,178,88,Molluscs,Veganism,Sikhism,Balance,4
Male,1/22/2023,187,147,,Vegetarianism,Hinduism,Luxury,3
Male,11/11/2022,151,98,,Pesetarianism,Sikhism,Complex,4
Female,6/29/2022,187,40,Crustaceans,Omnivorousness,Buddism,Complex,3
Female,12/16/2023,195,70,,Vegetarianism,Judaism,Complex,4
Female,7/3/2022,128,133,,Omnivorousness,Buddism,Luxury,3
Female,8/11/2023,109,85,,Veganism,Taoism,Complex,4
Male,5/16/2022,183,112,,Omnivorousness,Hinduism,Complex,1
Female,9/6/2023,196,34,,Omnivorousness,Islam,Balance,1
