Gender,Birth Day,height,weight,Allergy,Diet Type,Religion,Meal_Type,Satisfy Score
Female,4/8/2023,190,181,,Pesetarianism,Taoism,Luxury,1
Female,2/11/2022,122,97,,Vegetarianism,Islam,Luxury,2
Female,5/18/2022,136,61,,Pesetarianism,Christianity,Minimal,5
Female,2/17/2023,165,169,,Vegetarianism,Taoism,Minimal,1
Male,1/28/2023,118,140,,Vegetarianism,Judaism,Minimal,2
Male,2/23/2022,120,82,,Veganism,Shinto,Minimal,2
Female,2/6/2022,192,165,,Pesetarianism,Sikhism,Complex,4
Female,7/8/2022,140,88,,Veganism,Buddism,Minimal,4
Male,11/9/2023,126,190,,Pesetarianism,Islam,Balance,4
Male,11/4/2023,178,35,,Vegetarianism,Taoism,Balance,3
Male,4/27/2023,195,115,,Veganism,Islam,Balance,5
Female,7/15/2022,120,102,,Veganism,Islam,Luxury,5
Male,4/30/2023,128,152,,Vegetarianism,Christianity,Balance,2
Female,2/17/2022,122,117,Mustard,Vegetarianism,Buddism,Complex,1
Female,11/13/2023,110,41,,Pesetarianism,Islam,Complex,1
Male,3/2/2023,197,86,Lupin,Omnivorousness,Shinto,Luxury,1
Male,7/7/2022,146,34,,Veganism,Christianity,Complex,5
Female,7/20/2022,196,145,Sulphur Dioxide Sulphites,Vegetarianism,Shinto,Balance,4
Male,8/13/2023,109,73,,Omnivorousness,Taoism,Complex,4
Female,11/13/2022,109,73,,Pesetarianism,Judaism,Balance,1
Male,5/1/2022,189,152,,Omnivorousness,Taoism,Balance,3
Male,4/17/2022,109,133,,Omnivorousness,Judaism,Minimal,5
Male,2/20/2022,107,69,Sesame,Veganism,Taoism,Luxury,3
Male,7/30/2023,119,148,Sesame,Vegetarianism,Shinto,Balance,3
Female,11/21/2023,137,105,,Pesetarianism,Hinduism,Minimal,3
Female,7/5/2023,130,125,,Veganism,Sikhism,Minimal,2
Male,7/3/2022,175,87,Sulphur Dioxide Sulphites,Pesetarianism,Taoism,Luxury,1
Female,9/3/2022,138,113,,Pesetarianism,Islam,Complex,4
Female,4/13/2023,141,147,,Pesetarianism,Taoism,Luxury,1
Female,8/4/2022,147,37,Sesame,Veganism,Hinduism,Minimal,4
Female,4/9/2022,148,102,,Veganism,Judaism,Minimal,3
Male,7/6/2022,188,100,Gluten,Pesetarianism,Hinduism,Balance,5
Female,5/29/2023,177,161,,Vegetarianism,Shinto,Luxury,5
Female,5/16/2023,101,66,,Vegetarianism,Buddism,Complex,4
Female,5/12/2022,198,181,,Pesetarianism,Sikhism,Balance,2
Male,4/21/2023,190,138,Eggs,Pesetarianism,Islam,Balance,1
Male,2/15/2022,173,182,,Pesetarianism,Judaism,Minimal,3
Male,9/24/2022,165,35,,Pesetarianism,Christianity,Balance,5
Male,4/12/2022,133,127,Sesame,Pesetarianism,Islam,Luxury,2
Male,10/19/2022,199,145,,Pesetarianism,Christianity,Complex,1
Male,1/10/2023,189,150,,Pesetarianism,Taoism,Minimal,4
Female,7/25/2023,162,103,Lupin,Omnivorousness,Taoism,Luxury,3
Female,12/16/2022,153,53,Peanuts,Omnivorousness,Christianity,Balance,2
Female,7/5/2023,151,42,,Pesetarianism,Islam,Luxury,3
Female,5/28/2022,171,178,,Vegetarianism,Buddism,Complex,2
Female,11/1/2023,199,150,,Veganism,Taoism,Balance,2
Male,7/2/2022,153,183,Sulphur Dioxide Sulphites,Pesetarianism,Sikhism,Balance,5
Female,5/25/2023,107,167,,Omnivorousness,Christianity,Minimal,2
Female,8/16/2022,132,175,Crustaceans,Vegetarianism,Hinduism,Luxury,2
Male,11/11/2022,142,162,,Pesetarianism,Islam,Luxury,3
